key,version,name,geoPt,address,tellNo,schoolKubun,collectZeroYear,collectOneYear,collectTwoYear,collectThreeYear,collectFourYear,collectFiveYear
,,東あずま保育園,"35.704994,139.82895",墨田区立花一丁目27番6号棟101号室,03-3613-2868,1,0,0,0,0,1,0
,,おむらい保育園,"35.7077,139.82439",墨田区文花一丁目32番1号-103号室,03-3613-5391,1,0,0,0,0,0,0
,,江東橋保育園,"35.69589,139.8075",墨田区緑四丁目35番9号,03-3631-2411,1,0,0,0,0,0,0
,,江東橋保育園（分園）,"35.69714,139.8045",墨田区亀沢三丁目12番5号　シテイハイム1階,03-3623-0152,1,0,0,0,0,0,0
,,横川橋保育園,"35.70219,139.8109",墨田区太平一丁目27番13号,03-3622-3323,1,0,0,0,0,0,3
,,中川保育園,"35.718704,139.83058",墨田区東墨田二丁目1番15号,03－3612ー2968,1,0,0,0,0,0,0
,,花園保育園,"35.724686,139.81464",墨田区東向島三丁目16番2号,03-3614-5430,1,0,0,0,0,0,0
,,福神橋保育園,"35.708164,139.82228",墨田区文花一丁目30番21号－101号室,03－3611－7721,1,0,0,0,0,0,0
,,文花保育園,"35.709526,139.8232",墨田区文花一丁目24番5号,03－3611－6068,1,0,0,0,0,0,0
,,たちばな保育園,"35.707092,139.83434",墨田区立花三丁目21番16号,03-3617-7950,1,0,0,0,0,0,0
,,すみだ保育園,"35.732037,139.82307",墨田区墨田四丁目22番4号101号室,03－3619－5844,1,0,0,0,0,1,3
,,八広保育園,"35.720917,139.82639",墨田区八広三丁目7番5号,03-3617-2323,1,0,0,0,0,0,0
,,東駒形保育園,"35.705284,139.798",墨田区東駒形一丁目6番8号,03-3625-8672,1,0,0,0,0,0,0
,,亀沢保育園,"35.698555,139.79942",墨田区亀沢一丁目27番5号,03-3624-7781,1,0,0,0,0,1,2
,,東あずま保育園,"35.704994,139.82895",墨田区立花一丁目27番6号棟101号室,03-3613-2868,1,0,0,0,0,1,0
,,おむらい保育園,"35.7077,139.82439",墨田区文花一丁目32番1号-103号室,03-3613-5391,1,0,0,0,0,0,0
,,江東橋保育園,"35.69589,139.8075",墨田区緑四丁目35番9号,03-3631-2411,1,0,0,0,0,0,0
,,江東橋保育園（分園）,"35.69714,139.8045",墨田区亀沢三丁目12番5号　シテイハイム1階,03-3623-0152,1,0,0,0,0,0,0
,,横川橋保育園,"35.70219,139.8109",墨田区太平一丁目27番13号,03-3622-3323,1,0,0,0,0,0,3
,,中川保育園,"35.718704,139.83058",墨田区東墨田二丁目1番15号,03－3612ー2968,1,0,0,0,0,0,0
,,花園保育園,"35.724686,139.81464",墨田区東向島三丁目16番2号,03-3614-5430,1,0,0,0,0,0,0
,,福神橋保育園,"35.708164,139.82228",墨田区文花一丁目30番21号－101号室,03－3611－7721,1,0,0,0,0,0,0
,,文花保育園,"35.709526,139.8232",墨田区文花一丁目24番5号,03－3611－6068,1,0,0,0,0,0,0
,,たちばな保育園,"35.707092,139.83434",墨田区立花三丁目21番16号,03-3617-7950,1,0,0,0,0,0,0
,,すみだ保育園,"35.732037,139.82307",墨田区墨田四丁目22番4号101号室,03－3619－5844,1,0,0,0,0,1,3
,,八広保育園,"35.720917,139.82639",墨田区八広三丁目7番5号,03-3617-2323,1,0,0,0,0,0,0
,,東駒形保育園,"35.705284,139.798",墨田区東駒形一丁目6番8号,03-3625-8672,1,0,0,0,0,0,0
,,亀沢保育園,"35.698555,139.79942",墨田区亀沢一丁目27番5号,03-3624-7781,1,0,0,0,0,1,2
,,東あずま保育園,"35.704994,139.82895",墨田区立花一丁目27番6号棟101号室,03-3613-2868,1,0,0,0,0,1,0
,,おむらい保育園,"35.7077,139.82439",墨田区文花一丁目32番1号-103号室,03-3613-5391,1,0,0,0,0,0,0
,,太平保育園,"35.700096,139.81038",墨田区太平一丁目13番10号,03-3626-0776,1,0,0,0,0,0,1
,,鐘ケ淵北保育園,"35.73624,139.81708",墨田区堤通二丁目8番15号-109号室,03-3619-8531,1,0,0,0,0,4,6
,,梅若保育園,"35.73095,139.8176",墨田区墨田二丁目38番13号,03-3611-6571,1,0,0,0,0,0,1
,,立川保育園,"35.69051,139.79948",墨田区立川一丁目5番2号,03-3633-6960,1,0,0,0,0,0,1
,,中川南保育園,"35.710472,139.83572",墨田区立花六丁目8番2号-106号室,03-3616-4141,1,5,0,0,0,0,1
,,長浦保育園,"35.72482,139.82576",墨田区八広五丁目10番1号ー105号室,03－3616－7227,1,0,0,0,0,0,1
,,寺島保育園,"35.72017,139.81256",墨田区東向島一丁目23番10号,03-3614-0311,1,0,0,0,0,0,0
,,水神保育園,"35.7334,139.81587",墨田区堤通二丁目6番9号-103号室,03-3616-1970,1,0,0,0,0,0,1
,,しらひげ保育園,"35.730946,139.8139",墨田区堤通二丁目5番5号-101号室,03-3611-1580,1,0,0,0,0,0,0
,,あおやぎ保育園,"35.725826,139.81918",墨田区東向島四丁目37番17号,03－3614－6789,1,0,0,0,0,0,1
,,横川さくら保育園,"35.705143,139.81746",墨田区横川五丁目9番1号,03-5608-4525,1,0,0,0,0,0,0
,,横川さくら保育園立花分園,"35.70637,139.83142",墨田区立花一丁目23番5号　サンタウン立花206室,03-3612-5525,1,0,0,0,0,0,0
,,ひきふね保育園,"35.720055,139.82133",墨田区八広一丁目1番18号,03ー3610ー0263,1,0,0,0,0,0,0
,,押上保育園,"35.711365,139.81175",墨田区押上二丁目10番17号,03-3623-6030,1,0,0,0,0,0,0
,,きんし保育園,"35.69663,139.81882",墨田区江東橋四丁目30番2号301号室,03ー3635ー1001,1,0,0,0,0,0,2
,,墨田みどり保育園,"35.696407,139.80344",東京都墨田区亀沢3-7-11,03-3624-4508,2,0,0,0,0,0,0
,,光の園保育学校,"35.70604,139.80533",東京都墨田区東駒形4-6-2,03-3622-8867,2,0,0,0,0,0,0
,,厚生館保育園,"35.712067,139.83064",東京都墨田区立花5-21-3,03-3613-1931,2,0,0,0,0,0,0
,,菊川保育園,"35.68902,139.81085",東京都墨田区江東橋5-3-3,03-3633-1888,2,0,0,0,0,0,0
,,木ノ下保育園,"35.73047,139.8261",東京都墨田区墨田４-６０-１３,03(3612)5458,2,0,0,0,0,0,0
,,杉の子学園保育所,"35.718037,139.81552",東京都墨田区東向島２-１８-８,０３-３６１９-４１５３,2,0,0,0,0,0,0
,,ナースリー保育園,"35.72199,139.8213",東京都墨田区東向島6-15-5,03-3613-3470,2,0,0,0,0,0,0
,,育正保育園,"35.706955,139.79793",東京都墨田区東駒形1-3-15,03-5819-4533,2,0,0,0,0,0,0
,,わらべみどり保育園,"35.69458,139.80444",東京都墨田区緑3丁目12-2,03-5638-1551,2,0,0,0,0,0,0
,,本所たから保育園,"35.70645,139.8014",東京都墨田区東駒形4-4-7,03-5610-3737,2,0,0,0,0,0,0
,,すみだ中和こころ保育園,"35.690056,139.80222",東京都墨田区菊川1丁目18番5号,03-6666-9449,2,0,0,0,0,0,0
